Title,Published_date,Likes,Views
"1,000 Blind People See For The First Time",2023-01-28,10387649,203565978
I Survived 50 Hours In Antarctica,2022-12-24,5701517,233514617
Hydraulic Press Vs Lamborghini,2022-12-10,5759224,254063788
Would You Fly To Paris For A Baguette?,2022-12-08,56412671,1563785358
"100 Kids Vs 100 Adults For $500,000",2022-12-03,4813879,305556559
Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19,29481727,729512262
"Last To Take Hand Off Jet, Keeps It!",2022-11-12,4836731,228542996
Giving iPhones Instead Of Candy on Halloween,2022-11-02,40114292,1515336302
"$1 vs $1,000,000 Hotel Room!",2022-10-22,7383382,400292587
"The Rock Vs MrBeast For $100,000",2022-10-21,35600506,668222078
"Survive 100 Days In Circle, Win $500,000",2022-09-24,6199821,361303991
I Hunted 100 People!,2022-09-03,3943030,236102250
I Survived A Plane Crash,2022-08-20,4200417,215249668
"I Gave My 100,000,000th Subscriber An Island",2022-08-04,7053329,239926235
"100 Boys Vs 100 Girls For $500,000",2022-07-23,4944065,262107940
I Didn’t Eat Food For 30 Days,2022-07-02,4230212,121897346
I Built Willy Wonka's Chocolate Factory!,2022-06-04,6858997,347814339
"$10,000 Every Day You Survive Prison",2022-04-09,5572839,236035550
"Would You Swim With Sharks For $100,000?",2022-03-19,4181038,202403742
World’s Most Dangerous Escape Room!,2022-01-29,5574634,283370052
"Extreme $1,000,000 Hide And Seek",2021-12-18,3659177,108792343
"$1,000,000 Influencer Tournament!",2021-12-16,3146041,100913143
I Got Hunted By The Military,2021-12-10,4784637,245862671
"$456,000 Squid Game In Real Life!",2021-11-24,19235215,804671123
I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29,5612502,131142424
"Last To Take Hand Off Lamborghini, Keeps It",2021-10-23,4791806,193547678
"First To Rob Bank Wins $100,000",2021-09-26,4528433,204971085
"Extreme $500,000 Game Of Tag!",2021-09-04,4750705,216960638
"Last To Leave Circle Wins $500,000",2021-08-31,7664669,517110487
I Got Hunted By The FBI,2021-08-07,4785866,246637477
"If You Can Carry $1,000,000 You Keep It!",2021-07-24,3890155,242174852
"Would YOU Quit School For $100,000?",2021-07-10,3663518,183958509
